연도,제조사,차명,최초발화점,상황
2021,현대자동차,코나 EV,고전압배터리,주차중
2021,현대자동차,일렉시티,차량기타부품,주행중
2021,현대자동차,포터2 EV,외부요인,충전중
2021,현대자동차,코나 EV,고전압배터리,주차중
2021,현대자동차,코나 EV,고전압배터리,주차중
2021,현대자동차,카운티 일렉시티,고전압배터리,주행중
2021,현대자동차,포터2 EV,고전압배터리,주행중
2021,현대자동차,카운티 일렉시티,차량기타부품,주행중
2021,르노코리아,SM3 ZE,차량기타부품,주행중
2021,폭스바겐그룹,E-tron,차량기타부품,주행중
2021,기아,봉고3 EV,차량기타부품,주행중
2021,현대자동차,포터2 EV,차량기타부품,주행중
2021,현대자동차,아이오닉 EV,차량기타부품,주행중
2021,한국지엠,볼트 EV,고전압배터리,주차중
2021,한국지엠,볼트 EV,고전압배터리,주차중
2021,르노코리아,SM3 ZE,고전압배터리,주차중
2022,현대자동차,코나 EV,외부요인,주행중
2022,한국지엠,볼트 EV,외부요인,충전중
2022,대창모터스,다니고밴 EV,고전압배터리,주차중
2022,현대자동차,코나 EV,고전압배터리,충전중
2022,테슬라,모델3,차량기타부품,주행중
2022,현대자동차,코나 EV,고전압배터리,주차중
2022,르노코리아,SM3 ZE,고전압배터리,주차중
2022,기아,봉고3 EV,차량기타부품,충전중
2022,현대자동차,포터2 EV,외부요인,충전중
2022,현대자동차,포터2 EV,외부요인,충전중
2022,현대자동차,아이오닉5,고전압배터리,주행중(충돌)
2022,대창모터스,다니고1,차량기타부품,주행중
2022,현대자동차,아이오닉5,차량기타부품,주행중(충돌)
2022,현대자동차,G80 EV,차량기타부품,주행중
2022,폭스바겐그룹,E-tron,차량기타부품,주행중
2022,현대자동차,포터2 EV,외부요인,충전중
2022,르노코리아,SM3 ZE,고전압배터리,주차중
2022,현대자동차,아이오닉 EV,고전압배터리,주차중
2022,한국지엠,볼트 EV,고전압배터리,주차중
2022,한국지엠,볼트 EV,차량기타부품,주행중(충돌)
2022,기아,봉고3 EV,고전압배터리,충전중
2022,기아,EV6,고전압배터리,주행중(충돌)
2022,현대자동차,포터2 EV,고전압배터리,주차중
2022,기아,봉고3 EV,외부요인,충전중
2022,폭스바겐그룹,E-tron,차량기타부품,주행중
2022,기아,봉고3 EV,고전압배터리,주차중
2022,폭스바겐그룹,E-tron,차량기타부품,충전중
2022,폭스바겐그룹,E-tron,차량기타부품,주차중
2022,현대자동차,아이오닉5,고전압배터리,주행중(충돌)
2022,한국지엠,볼트 EV,고전압배터리,주차중
2022,비바모빌리티,브이버스60,고전압배터리,충전중
2022,비바모빌리티,브이버스 60,고전압배터리,충전중
2022,테슬라,모델3,외부요인,주행중
2023,테슬라,모델X,고전압배터리,주차중
2023,테슬라,모델Y,고전압배터리,주행중(충돌)
2023,쎄보모빌리티,CEVO-C,차량기타부품,충전중
2023,현대자동차,포터2 EV,차량기타부품,주차중
2023,기아,레이 EV,고전압배터리,주행중
2023,한국지엠,볼트 EV,고전압배터리,주차중
2023,현대자동차,아이오닉5,고전압배터리,주행중(충돌)
2023,폭스바겐그룹,E-tron,고전압배터리,주차중
2023,현대자동차,아이오닉5,차량기타부품,주행중
2023,현대자동차,포터2 EV,외부요인,충전중
2023,기아,쏘울 EV,외부요인,충전중
2023,현대자동차,아이오닉5,고전압배터리,주행중(충돌)
2023,현대자동차,코나 EV,고전압배터리,충전중
2023,한국지엠,볼트 EV,고전압배터리,주차중
2023,한국지엠,볼트 EV,고전압배터리,주차중
2023,현대자동차,코나 EV,외부요인,충전중
2023,마이브,마이브 M1,차량기타부품,충전중
2023,르노코리아,SM3 ZE,고전압배터리,주차중
2023,현대자동차,코나 EV,고전압배터리,주차중
2023,폭스바겐그룹,Q4 e-tron,차량기타부품,주행중
2023,기아,쏘울 EV,고전압배터리,주행중
2023,테슬라,모델Y,외부요인,주행중
2023,르노코리아,SM3 ZE,고전압배터리,주차중
2023,마스터전기차,마스타VAN,차량기타부품,정차중
2023,기아,봉고3 EV,외부요인,충전중
2023,기아,니로 EV,외부요인,주차중
2023,기아,EV6,고전압배터리,주행중(충돌)
2023,르노코리아,SM3 ZE,고전압배터리,주차중
2023,스마트솔루션,SMART EV Z,고전압배터리,주차중
2023,기아,니로 EV,외부요인,충전중
2023,현대자동차,포터2 EV,고전압배터리,주행중(충돌)
2023,현대자동차,코나 EV,고전압배터리,주차중
2023,현대자동차,포터2 EV,외부요인,충전중
2023,기아,쏘울 EV,고전압배터리,주행중
2023,기아,EV6,차량기타부품,주행중(충돌)
2023,기아,봉고3 EV,외부요인,주차중
2023,기아,니로 EV,고전압배터리,주차중
2023,폭스바겐그룹,e-Tron Sportback 55 qu,고전압배터리,주행중
2023,르노코리아,SM3 ZE,고전압배터리,주차중
2023,현대자동차,포터2 EV,고전압배터리,주차중
2023,현대자동차,아이오닉5,미상,충전중
2023,현대자동차,아이오닉5,차량기타부품,주행중(충돌)
2023,피라인모터스,HYPERS1612N,고전압배터리,충전중
2023,현대자동차,아이오닉 EV,고전압배터리,주차중
2023,기아,봉고3 EV,외부요인,주행중
2023,기아,봉고3 EV,외부요인,충전중
2023,KG모빌리티,토레스 EVX,외부요인,주행중(충돌)
